品目名,カロリー(kcal),たんぱく質(g),脂質(g),炭水化物(g),出典,登録日時,ID
【モス】モスバーガー,372,15.2,17,40,https://www.mos.jp/menu/pdf/nutrition.pdf,,
【モス】モスチーズバーガー,425,18.2,21.4,40.4,https://www.mos.jp/menu/pdf/nutrition.pdf,,
【モス】テリヤキバーガー,385,14.3,18.2,41.2,https://www.mos.jp/menu/pdf/nutrition.pdf,,
【モス】テリヤキチキンバーガー,303,20.1,10.3,32.4,https://www.mos.jp/menu/pdf/nutrition.pdf,,
【モス】モス野菜バーガー,363,14.1,18.6,35.4,https://www.mos.jp/menu/pdf/nutrition.pdf,,
【モス】フィッシュバーガー,381,16.2,18.8,37,https://www.mos.jp/menu/pdf/nutrition.pdf,,
【モス】チキンバーガー,386,15,18.5,40,https://www.mos.jp/menu/pdf/nutrition.pdf,,
【モス】ハンバーガー,314,13.7,13.2,35.2,https://www.mos.jp/menu/pdf/nutrition.pdf,,
【モス】チーズバーガー,367,16.7,17.6,35.6,https://www.mos.jp/menu/pdf/nutrition.pdf,,
【モス】スパイシーモスバーガー,375,15.3,17.1,40.4,https://www.mos.jp/menu/pdf/nutrition.pdf,,
【モス】モスライスバーガー焼肉,353,9.5,11.6,52.8,https://www.mos.jp/menu/pdf/nutrition.pdf,,
【モス】フレンチフライポテトM,238,3,9.8,34.7,https://www.mos.jp/menu/pdf/nutrition.pdf,,
【モス】オニポテ,189,2.6,8.7,25.3,https://www.mos.jp/menu/pdf/nutrition.pdf,,
【モス】チキンナゲット5コ入り,195,14.8,10.2,10.9,https://www.mos.jp/menu/pdf/nutrition.pdf,,
【モス】モスチキン,269,15.3,16.6,14.7,https://www.mos.jp/menu/pdf/nutrition.pdf,,
【ミスド】ポン・デ・リング,219,1.2,11.8,26.9,https://www.misterdonut.jp/m_menu/eiyou/eiyou.pdf,,
【ミスド】ポン・デ・黒糖,202,1.2,11.9,22.4,https://www.misterdonut.jp/m_menu/eiyou/eiyou.pdf,,
【ミスド】オールドファッション,281,3.4,17,28,https://www.misterdonut.jp/m_menu/eiyou/eiyou.pdf,,
【ミスド】チョコファッション,318,3.7,19.7,30.7,https://www.misterdonut.jp/m_menu/eiyou/eiyou.pdf,,
【ミスド】フレンチクルーラー,148,1.5,9.2,14.3,https://www.misterdonut.jp/m_menu/eiyou/eiyou.pdf,,
【ミスド】エンゼルクリーム,200,3.1,12,19.5,https://www.misterdonut.jp/m_menu/eiyou/eiyou.pdf,,
【ミスド】カスタードクリーム,222,3.4,11.8,25.2,https://www.misterdonut.jp/m_menu/eiyou/eiyou.pdf,,
【ミスド】ハニーディップ,216,4.1,11.4,24,https://www.misterdonut.jp/m_menu/eiyou/eiyou.pdf,,
【ミスド】シュガーレイズド,207,4.1,11.5,21.3,https://www.misterdonut.jp/m_menu/eiyou/eiyou.pdf,,
【ミスド】チョコレート,245,2.9,13.9,26.8,https://www.misterdonut.jp/m_menu/eiyou/eiyou.pdf,,
【ミスド】ダブルチョコレート,271,3.4,17.3,24.8,https://www.misterdonut.jp/m_menu/eiyou/eiyou.pdf,,
【ミスド】しっとりマフィン バター風味,344,4.2,18,41.1,https://www.misterdonut.jp/m_menu/eiyou/eiyou.pdf,,
【ミスド】しっとりマフィン チョコ,323,3.9,17.3,37.7,https://www.misterdonut.jp/m_menu/eiyou/eiyou.pdf,,
【ミスド】ハニーチュロ,205,3.3,10.1,24.9,https://www.misterdonut.jp/m_menu/eiyou/eiyou.pdf,,
【ミスド】北海道産コーンスープ,115,2.5,3.1,19.3,https://www.misterdonut.jp/m_menu/eiyou/eiyou.pdf,,
【セブン】手巻おにぎり 北海道産昆布,176,3.3,1.4,38.7,https://www.sej.co.jp/products/a/item/041956/,,
【セブン】手巻おにぎり 具たっぷり辛子明太子,173,5.1,0.8,37.2,https://www.sej.co.jp/products/a/item/041910/,,
【セブン】手巻おにぎり 炭火焼銀しゃけ,182,4.5,2.7,35.9,https://www.sej.co.jp/products/a/item/043124/,,
【セブン】小さなおむすび ゆかり,136,2.6,0.8,30.3,https://www.sej.co.jp/products/a/item/043433/,,
【セブン】鶏めしおむすびセット,390,15.1,14.4,51.1,https://www.sej.co.jp/products/a/item/041598/,,
【セブン】ポーク玉子おむすび,400,10.9,17.8,50.2,https://www.sej.co.jp/products/a/item/041890/,,
【ローソン】たんぱく質30.3g サラダチキン プレーン,141,30.3,2.1,0.2,https://www.lawson.co.jp/recommend/original/detail/1507463_1996.html,,
【ローソン】からあげクン レギュラー,226,14.4,15.4,7.8,https://www.lawson.co.jp/sp/recommend/original/detail/1390563_2168.html,,
【ローソン】手巻おにぎり 北海道産日高昆布,173,3.5,0.9,38.6,https://www.lawson.co.jp/recommend/original/detail/1527626_1996.html,,
【ローソン】手巻おにぎり 熟成辛子明太子,174,5.1,1.1,36.6,https://www.lawson.co.jp/recommend/original/detail/1527627_1996.html,,
【ローソン】手巻おにぎり 炙り熟成紅鮭,174,4.8,1.9,35.1,https://www.lawson.co.jp/recommend/original/detail/1507600_1996.html,,
【ローソン】塩にぎり,173,2.9,0.9,38.7,https://www.lawson.co.jp/recommend/original/detail/1527622_1996.html,,
【ローソン】おにぎりおかずセット(シーチキンマヨネーズ・鮭),468,14.6,13.8,72.9,https://www.lawson.co.jp/recommend/original/detail/1527621_1996.html,,
【ファミマ】ファミチキ(骨なし),251.7,12.7,15.7,14.8,https://www.family.co.jp/goods/friedfoods/0253116.html,,
【ファミマ】塩おむすび,186,2.6,1.1,41.7,https://www.family.co.jp/goods/omusubi/0411523.html,,
【ファミマ】手巻 紅しゃけ,168,4.3,1.5,34.6,https://www.family.co.jp/goods/omusubi/0410151.html,,
【ファミマ】手巻 辛子明太子,175,4.1,1.4,36.7,https://www.family.co.jp/goods/omusubi/0410120.html,,
【ファミマ】手巻 シーチキンマヨネーズ,225,4.1,6.5,37.9,https://www.family.co.jp/goods/omusubi/0410113.html,,
【ファミマ】鮭はらみおむすび,209,5.2,3.8,38.6,https://www.family.co.jp/goods/omusubi/0416108.html,,
